Input file: c:\ken\maxchelator\pH70_22C\mc_output_45_values.txt

pCa 9.0 Total Ca2 (M): 1.53e-005
pCa 4.5 Total Ca2 (M): 0.007


pCa	FCa2		TCa2		Prop 90		Prop 45

7	1e-007		0.00128066	0.818838	0.181162
6.9	1.259e-007	0.00152628	0.783673	0.216327
6.8	1.585e-007	0.00180919	0.743169	0.256831
6.7	1.995e-007	0.00212866	0.69743		0.30257
6.6	2.512e-007	0.0024814	0.646928	0.353072
6.5	3.162e-007	0.00286128	0.592542	0.407458
6.4	3.981e-007	0.00325951	0.535526	0.464474
6.3	5.012e-007	0.0036654	0.477415	0.522585
6.2	6.31e-007	0.00406743	0.419856	0.580144
6.1	7.943e-007	0.00445458	0.364429	0.635571
6	1e-006		0.00481752	0.312466	0.687534
5.9	1.259e-006	0.00514944	0.264944	0.735056
5.8	1.585e-006	0.00544638	0.222431	0.777569
5.7	1.995e-006	0.00570704	0.185112	0.814888
5.6	2.512e-006	0.00593234	0.152857	0.847143
5.5	3.162e-006	0.00612475	0.12531		0.87469
5.4	3.981e-006	0.00628773	0.101976	0.898024
5.3	5.012e-006	0.00642517	0.0822984	0.917702
5.2	6.31e-006	0.006541	0.0657148	0.934285
5.1	7.943e-006	0.00663896	0.0516906	0.948309
5	1e-005		0.00672242	0.0397413	0.960259
4.9	1.259e-005	0.00679437	0.0294406	0.970559
4.8	1.585e-005	0.00685736	0.0204216	0.979578
4.7	1.995e-005	0.00691358	0.0123723	0.987628
4.6	2.512e-005	0.00696487	0.00502992	0.99497
4.5	3.162e-005	0.00701276	-0.0018267	1.00183
4.4	3.981e-005	0.00705856	-0.0083844	1.00838
4.3	5.012e-005	0.00710339	-0.0148025	1.0148
4.2	6.31e-005	0.00714821	-0.0212191	1.02122
4.1	7.943e-005	0.00719387	-0.0277563	1.02776
4	0.0001		0.00724115	-0.0345254	1.03453


r_squared: 0.999967
