Output from the Graph Environmental Effects 
      function of WinMaxc32 v2.50
STARTING CONDITIONS
 22.0 C   pH  7.00     0.180N
CHELATOR TOTAL[M] and METAL FREE[M]
ATP          CRPHOSP      EGTA                                                
 4.80E-03     1.45E-02     7.00E-03                                           
Ca2          Mg2                                                              
 3.16E-05     1.00E-03                                                        
 
 FCa2        TCa2       TMg2      
 1.00E-07   1.25E-03   5.48E-03                                              
 1.22E-07   1.48E-03   5.47E-03                                              
 1.45E-07   1.69E-03   5.47E-03                                              
 1.67E-07   1.88E-03   5.46E-03                                              
 1.90E-07   2.06E-03   5.45E-03                                              
 2.12E-07   2.23E-03   5.45E-03                                              
 2.35E-07   2.38E-03   5.44E-03                                              
 2.57E-07   2.53E-03   5.44E-03                                              
 2.80E-07   2.66E-03   5.43E-03                                              
 3.02E-07   2.79E-03   5.43E-03                                              
 3.25E-07   2.91E-03   5.42E-03                                              
 3.47E-07   3.03E-03   5.42E-03                                              
 3.70E-07   3.14E-03   5.41E-03                                              
 3.92E-07   3.24E-03   5.41E-03                                              
 4.15E-07   3.34E-03   5.41E-03                                              
 4.37E-07   3.43E-03   5.40E-03                                              
 4.60E-07   3.52E-03   5.40E-03                                              
 4.82E-07   3.60E-03   5.40E-03                                              
 5.05E-07   3.68E-03   5.39E-03                                              
 5.27E-07   3.76E-03   5.39E-03                                              
 5.50E-07   3.83E-03   5.39E-03                                              
 5.72E-07   3.90E-03   5.38E-03                                              
 5.95E-07   3.96E-03   5.38E-03                                              
 6.17E-07   4.03E-03   5.38E-03                                              
 6.40E-07   4.09E-03   5.38E-03                                              
 6.62E-07   4.15E-03   5.38E-03                                              
 6.85E-07   4.20E-03   5.37E-03                                              
 7.07E-07   4.26E-03   5.37E-03                                              
 7.30E-07   4.31E-03   5.37E-03                                              
 7.52E-07   4.36E-03   5.37E-03                                              
 7.75E-07   4.41E-03   5.37E-03                                              
 7.97E-07   4.46E-03   5.36E-03                                              
 8.20E-07   4.50E-03   5.36E-03                                              
 8.42E-07   4.54E-03   5.36E-03                                              
 8.65E-07   4.59E-03   5.36E-03                                              
 8.87E-07   4.63E-03   5.36E-03                                              
 9.10E-07   4.67E-03   5.36E-03                                              
 9.32E-07   4.70E-03   5.35E-03                                              
 9.55E-07   4.74E-03   5.35E-03                                              
 9.77E-07   4.78E-03   5.35E-03                                              
 1.00E-06   4.81E-03   5.35E-03                                              
