Input file: C:\Users\Campbell\Desktop\mc_mixing_table_output_25c.txt

pCa 9.0 Total Ca2 (M): 1.6e-05
pCa 4.5 Total Ca2 (M): 0.006996


pCa	FCa2		TCa2		Prop 90	Prop 45

7	1e-07		0.00129953		0.816114	0.183886
6.95	1.122e-07		0.0014265		0.797922	0.202078
6.9	1.259e-07		0.00156247		0.778443	0.221557
6.85	1.413e-07		0.00170739		0.75768	0.24232
6.8	1.585e-07		0.00186113		0.735655	0.264345
6.75	1.778e-07		0.00202339		0.712409	0.287591
6.7	1.995e-07		0.00219372		0.688006	0.311994
6.65	2.239e-07		0.00237152		0.662533	0.337467
6.6	2.512e-07		0.00255602		0.6361	0.3639
6.55	2.818e-07		0.00274632		0.608837	0.391163
6.5	3.162e-07		0.00294135		0.580895	0.419105
6.45	3.548e-07		0.00313996		0.552441	0.447559
6.4	3.981e-07		0.00334088		0.523656	0.476344
6.35	4.467e-07		0.0035428		0.494728	0.505272
6.3	5.012e-07		0.00374437		0.46585	0.53415
6.25	5.623e-07		0.00394426		0.437213	0.562787
6.2	6.31e-07		0.00414118		0.409	0.591
6.15	7.079e-07		0.00433393		0.381385	0.618615
6.1	7.943e-07		0.00452141		0.354526	0.645474
6.05	8.913e-07		0.00470265		0.32856	0.67144
6	1e-06		0.00487683		0.303607	0.696393
5.95	1.122e-06		0.00504327		0.279761	0.720239
5.9	1.259e-06		0.00520148		0.257095	0.742905
5.85	1.413e-06		0.0053511		0.235659	0.764341
5.8	1.585e-06		0.00549193		0.215483	0.784517
5.75	1.778e-06		0.00562391		0.196575	0.803425
5.7	1.995e-06		0.00574709		0.178927	0.821073
5.65	2.239e-06		0.00586164		0.162515	0.837485
5.6	2.512e-06		0.00596781		0.147305	0.852695
5.55	2.818e-06		0.00606592		0.133249	0.866751
5.5	3.162e-06		0.00615635		0.120293	0.879707
5.45	3.548e-06		0.00623952		0.108378	0.891622
5.4	3.981e-06		0.00631587		0.0974393	0.902561
5.35	4.467e-06		0.00638587		0.0874112	0.912589
5.3	5.012e-06		0.00644998		0.078227	0.921773
5.25	5.623e-06		0.00650866		0.0698199	0.93018
5.2	6.31e-06		0.00656237		0.0621247	0.937875
5.15	7.079e-06		0.00661156		0.0550778	0.944922
5.1	7.943e-06		0.00665664		0.0486183	0.951382
5.05	8.913e-06		0.00669804		0.0426876	0.957312
5	1e-05		0.00673613		0.0372303	0.96277
4.95	1.122e-05		0.00677129		0.0321939	0.967806
4.9	1.259e-05		0.00680385		0.0275286	0.972471
4.85	1.413e-05		0.00683415		0.0231879	0.976812
4.8	1.585e-05		0.00686249		0.0191275	0.980873
4.75	1.778e-05		0.00688916		0.015306	0.984694
4.7	1.995e-05		0.00691445		0.011684	0.988316
4.65	2.239e-05		0.00693859		0.00822441	0.991776
4.6	2.512e-05		0.00696186		0.00489159	0.995108
4.55	2.818e-05		0.00698447		0.0016515	0.998349
4.5	3.162e-05		0.00700667		-0.00152881	1.00153
4.45	3.548e-05		0.00702868		-0.00468144	1.00468
4.4	3.981e-05		0.00705071		-0.00783803	1.00784
4.35	4.467e-05		0.00707299		-0.0110301	1.01103
4.3	5.012e-05		0.00709574		-0.0142892	1.01429
4.25	5.623e-05		0.00711918		-0.0176478	1.01765
4.2	6.31e-05		0.00714355		-0.021139	1.02114
4.15	7.079e-05		0.00716909		-0.0247976	1.0248
4.1	7.943e-05		0.00719605		-0.02866	1.02866
4.05	8.913e-05		0.0072247		-0.0327653	1.03277
4	0.0001		0.00725534		-0.0371553	1.03716

r_squared: 0.999991
