Output from the Graph Environmental Effects 
      function of WinMaxc32 v2.50
STARTING CONDITIONS
 37.0 C   pH  6.50     0.180N
CHELATOR TOTAL[M] and METAL FREE[M]
ATP          CRPHOSP      EGTA                                                
 4.94E-03     1.45E-02     7.00E-03                                           
Ca2          Mg2                                                              
 3.15E-05     1.00E-03                                                        
 
 FCa2        TCa2       TMg2      
 1.00E-09   2.01E-06   5.43E-03                                              
 1.22E-09   2.46E-06   5.43E-03                                              
 1.45E-09   2.91E-06   5.43E-03                                              
 1.68E-09   3.36E-06   5.43E-03                                              
 1.90E-09   3.81E-06   5.43E-03                                              
 2.13E-09   4.26E-06   5.43E-03                                              
 2.35E-09   4.71E-06   5.43E-03                                              
 2.58E-09   5.16E-06   5.43E-03                                              
 2.80E-09   5.61E-06   5.43E-03                                              
 3.03E-09   6.06E-06   5.43E-03                                              
 3.25E-09   6.51E-06   5.43E-03                                              
 3.48E-09   6.96E-06   5.43E-03                                              
 3.70E-09   7.41E-06   5.43E-03                                              
 3.93E-09   7.86E-06   5.43E-03                                              
 4.15E-09   8.31E-06   5.43E-03                                              
 4.38E-09   8.76E-06   5.43E-03                                              
 4.60E-09   9.21E-06   5.43E-03                                              
 4.83E-09   9.67E-06   5.43E-03                                              
 5.05E-09   1.01E-05   5.43E-03                                              
 5.28E-09   1.05E-05   5.43E-03                                              
 5.50E-09   1.10E-05   5.43E-03                                              
 5.73E-09   1.14E-05   5.43E-03                                              
 5.95E-09   1.19E-05   5.43E-03                                              
 6.18E-09   1.23E-05   5.43E-03                                              
 6.40E-09   1.28E-05   5.43E-03                                              
 6.63E-09   1.32E-05   5.43E-03                                              
 6.85E-09   1.37E-05   5.43E-03                                              
 7.08E-09   1.41E-05   5.43E-03                                              
 7.30E-09   1.46E-05   5.43E-03                                              
 7.53E-09   1.50E-05   5.43E-03                                              
 7.75E-09   1.55E-05   5.43E-03                                              
 7.98E-09   1.60E-05   5.43E-03                                              
 8.20E-09   1.64E-05   5.43E-03                                              
 8.43E-09   1.69E-05   5.43E-03                                              
 8.65E-09   1.73E-05   5.43E-03                                              
 8.88E-09   1.78E-05   5.43E-03                                              
 9.10E-09   1.82E-05   5.43E-03                                              
 9.33E-09   1.87E-05   5.43E-03                                              
 9.55E-09   1.91E-05   5.43E-03                                              
 9.78E-09   1.96E-05   5.43E-03                                              
 1.00E-08   2.00E-05   5.43E-03                                              
 1.22E-08   2.45E-05   5.43E-03                                              
 1.45E-08   2.90E-05   5.42E-03                                              
 1.67E-08   3.34E-05   5.42E-03                                              
 1.90E-08   3.79E-05   5.42E-03                                              
 2.12E-08   4.24E-05   5.42E-03                                              
 2.35E-08   4.68E-05   5.42E-03                                              
 2.57E-08   5.13E-05   5.42E-03                                              
 2.80E-08   5.57E-05   5.42E-03                                              
 3.02E-08   6.02E-05   5.42E-03                                              
 3.25E-08   6.46E-05   5.42E-03                                              
 3.47E-08   6.90E-05   5.42E-03                                              
