Input file: C:\Users\Faruk\Dropbox\00Self made protocols\pCa 37C pH 6.5\37C pH6.5 maxChelator output for matlab input.txt

pCa 9.0 Total Ca2 (M): 2e-06
pCa 4.5 Total Ca2 (M): 0.00639


pCa	FCa2		TCa2		Prop 90	Prop 45

7	1e-07		0.000196381		0.969571	0.030429
6.9	1.259e-07		0.000244892		0.961977	0.0380231
6.8	1.585e-07		0.000304933		0.952578	0.0474223
6.7	1.995e-07		0.000378992		0.940984	0.0590156
6.6	2.512e-07		0.000469933		0.926748	0.0732518
6.5	3.162e-07		0.000580975		0.909365	0.0906349
6.4	3.981e-07		0.000715609		0.888289	0.111711
6.3	5.012e-07		0.000877434		0.862957	0.137043
6.2	6.31e-07		0.0010699		0.832828	0.167172
6.1	7.943e-07		0.00129593		0.797444	0.202556
6	1e-06		0.00155745		0.756505	0.243495
5.9	1.259e-06		0.00185485		0.709948	0.290052
5.8	1.585e-06		0.00218649		0.658033	0.341967
5.7	1.995e-06		0.00254828		0.601396	0.398604
5.6	2.512e-06		0.0029337		0.541061	0.458939
5.5	3.162e-06		0.00333404		0.47839	0.52161
5.4	3.981e-06		0.0037392		0.414966	0.585034
5.3	5.012e-06		0.00413866		0.352432	0.647568
5.2	6.31e-06		0.00452266		0.29232	0.70768
5.1	7.943e-06		0.00488311		0.235894	0.764106
5	1e-05		0.00521427		0.184053	0.815947
4.9	1.259e-05		0.00551295		0.137297	0.862703
4.8	1.585e-05		0.00577833		0.0957527	0.904247
4.7	1.995e-05		0.00601161		0.0592349	0.940765
4.6	2.512e-05		0.00621543		0.0273284	0.972672
4.5	3.162e-05		0.0063934		-0.000531833	1.00053
4.4	3.981e-05		0.00654966		-0.0249935	1.02499
4.3	5.012e-05		0.00668856		-0.0467371	1.04674
4.2	6.31e-05		0.00681445		-0.0664451	1.06645
4.1	7.943e-05		0.00693162		-0.0847871	1.08479
4	0.0001		0.00704424		-0.102417	1.10242


r_squared: 0.999999
