Output from the Graph Environmental Effects 
      function of WinMaxc32 v2.50
STARTING CONDITIONS
 37.0 C   pH  7.00     0.180N
CHELATOR TOTAL[M] and METAL FREE[M]
ATP          CRPHOSP      EGTA                                                
 4.63E-03     1.45E-02     7.00E-03                                           
Ca2          Mg2                                                              
 3.15E-05     1.00E-03                                                        
 
 FCa2        TCa2       TMg2      
 1.00E-09   1.86E-05   5.74E-03                                              
 1.22E-09   2.27E-05   5.74E-03                                              
 1.45E-09   2.69E-05   5.74E-03                                              
 1.68E-09   3.11E-05   5.74E-03                                              
 1.90E-09   3.52E-05   5.74E-03                                              
 2.13E-09   3.94E-05   5.74E-03                                              
 2.35E-09   4.35E-05   5.74E-03                                              
 2.58E-09   4.77E-05   5.74E-03                                              
 2.80E-09   5.18E-05   5.74E-03                                              
 3.03E-09   5.59E-05   5.74E-03                                              
 3.25E-09   6.00E-05   5.74E-03                                              
 3.48E-09   6.42E-05   5.74E-03                                              
 3.70E-09   6.83E-05   5.74E-03                                              
 3.93E-09   7.24E-05   5.74E-03                                              
 4.15E-09   7.65E-05   5.74E-03                                              
 4.38E-09   8.06E-05   5.74E-03                                              
 4.60E-09   8.47E-05   5.74E-03                                              
 4.83E-09   8.88E-05   5.74E-03                                              
 5.05E-09   9.28E-05   5.74E-03                                              
 5.28E-09   9.69E-05   5.74E-03                                              
 5.50E-09   1.01E-04   5.74E-03                                              
 5.73E-09   1.05E-04   5.74E-03                                              
 5.95E-09   1.09E-04   5.74E-03                                              
 6.18E-09   1.13E-04   5.73E-03                                              
 6.40E-09   1.17E-04   5.73E-03                                              
 6.63E-09   1.21E-04   5.73E-03                                              
 6.85E-09   1.25E-04   5.73E-03                                              
 7.08E-09   1.29E-04   5.73E-03                                              
 7.30E-09   1.33E-04   5.73E-03                                              
 7.53E-09   1.37E-04   5.73E-03                                              
 7.75E-09   1.41E-04   5.73E-03                                              
 7.98E-09   1.46E-04   5.73E-03                                              
 8.20E-09   1.50E-04   5.73E-03                                              
 8.43E-09   1.54E-04   5.73E-03                                              
 8.65E-09   1.58E-04   5.73E-03                                              
 8.88E-09   1.62E-04   5.73E-03                                              
 9.10E-09   1.66E-04   5.73E-03                                              
 9.33E-09   1.70E-04   5.73E-03                                              
 9.55E-09   1.74E-04   5.73E-03                                              
 9.78E-09   1.78E-04   5.73E-03                                              
 1.00E-08   1.81E-04   5.73E-03                                              
 1.01E-08   1.83E-04   5.73E-03                                              
 1.23E-08   2.23E-04   5.73E-03                                              
 1.45E-08   2.62E-04   5.72E-03                                              
 1.68E-08   3.00E-04   5.72E-03                                              
 1.91E-08   3.38E-04   5.72E-03                                              
 2.13E-08   3.76E-04   5.72E-03                                              
 2.36E-08   4.13E-04   5.71E-03                                              
 2.58E-08   4.50E-04   5.71E-03                                              
 2.81E-08   4.87E-04   5.71E-03                                              
 3.03E-08   5.23E-04   5.71E-03                                              
 3.26E-08   5.59E-04   5.70E-03                                              
 3.48E-08   5.94E-04   5.70E-03                                              
 3.71E-08   6.29E-04   5.70E-03                                              
 3.93E-08   6.63E-04   5.70E-03                                              
 4.16E-08   6.97E-04   5.69E-03                                              
 4.38E-08   7.31E-04   5.69E-03                                              
 4.61E-08   7.64E-04   5.69E-03                                              
 4.83E-08   7.98E-04   5.69E-03                                              
 5.06E-08   8.30E-04   5.68E-03                                              
