Input file: C:\Users\Faruk\Dropbox\Self made protocols\pCa 37C preparation\MaxChelator_output_pH70_37C_pCa45_for_Matlab_input.txt

pCa 9.0 Total Ca2 (M): 1.86e-05
pCa 4.5 Total Ca2 (M): 0.007004


pCa	FCa2		TCa2		Prop 90	Prop 45

7	1e-07		0.0014702		0.792195	0.207805
6.95	1.122e-07		0.00160878		0.772357	0.227643
6.9	1.259e-07		0.00175625		0.751246	0.248754
6.85	1.413e-07		0.00191241		0.728891	0.271109
6.8	1.585e-07		0.00207693		0.705339	0.294661
6.75	1.778e-07		0.00224931		0.680661	0.319339
6.7	1.995e-07		0.00242891		0.654951	0.345049
6.65	2.239e-07		0.00261492		0.628322	0.371678
6.6	2.512e-07		0.00280639		0.600912	0.399088
6.55	2.818e-07		0.00300225		0.572874	0.427126
6.5	3.162e-07		0.0032013		0.544379	0.455621
6.45	3.548e-07		0.00340227		0.515609	0.484391
6.4	3.981e-07		0.00360384		0.486752	0.513248
6.35	4.467e-07		0.00380468		0.458	0.542
6.3	5.012e-07		0.00400348		0.429541	0.570459
6.25	5.623e-07		0.00419898		0.401554	0.598446
6.2	6.31e-07		0.00439001		0.374208	0.625792
6.15	7.079e-07		0.0045755		0.347654	0.652346
6.1	7.943e-07		0.00475453		0.322025	0.677975
6.05	8.913e-07		0.00492632		0.297432	0.702568
6	1e-06		0.00509026		0.273963	0.726037
5.95	1.122e-06		0.00524588		0.251686	0.748314
5.9	1.259e-06		0.00539286		0.230644	0.769356
5.85	1.413e-06		0.00553105		0.210861	0.789139
5.8	1.585e-06		0.00566041		0.192343	0.807657
5.75	1.778e-06		0.00578102		0.175077	0.824923
5.7	1.995e-06		0.00589306		0.159037	0.840963
5.65	2.239e-06		0.00599681		0.144185	0.855815
5.6	2.512e-06		0.00609259		0.130474	0.869526
5.55	2.818e-06		0.00618079		0.117848	0.882152
5.5	3.162e-06		0.00626182		0.106247	0.893753
5.45	3.548e-06		0.00633614		0.0956075	0.904392
5.4	3.981e-06		0.0064042		0.0858647	0.914135
5.35	4.467e-06		0.00646646		0.0769522	0.923048
5.3	5.012e-06		0.00652337		0.0688047	0.931195
5.25	5.623e-06		0.00657539		0.0613583	0.938642
5.2	6.31e-06		0.00662294		0.0545509	0.945449
5.15	7.079e-06		0.00666644		0.048323	0.951677
5.1	7.943e-06		0.0067063		0.0426181	0.957382
5.05	8.913e-06		0.00674287		0.0373821	0.962618
5	1e-05		0.00677652		0.0325645	0.967435
4.95	1.122e-05		0.00680759		0.0281173	0.971883
4.9	1.259e-05		0.00683638		0.0239957	0.976004
4.85	1.413e-05		0.00686319		0.0201574	0.979843
4.8	1.585e-05		0.0068883		0.0165628	0.983437
4.75	1.778e-05		0.00691197		0.0131745	0.986826
4.7	1.995e-05		0.00693445		0.00995718	0.990043
4.65	2.239e-05		0.00695596		0.00687748	0.993123
4.6	2.512e-05		0.00697673		0.00390344	0.996097
4.55	2.818e-05		0.00699698		0.00100436	0.998996
4.5	3.162e-05		0.00701692		-0.00184946	1.00185
4.45	3.548e-05		0.00703674		-0.00468709	1.00469
4.4	3.981e-05		0.00705665		-0.00753724	1.00754
4.35	4.467e-05		0.00707685		-0.0104286	1.01043
4.3	5.012e-05		0.00709754		-0.0133903	1.01339
4.25	5.623e-05		0.00711892		-0.0164519	1.01645
4.2	6.31e-05		0.00714122		-0.0196441	1.01964
4.15	7.079e-05		0.00716466		-0.0229993	1.023
4.1	7.943e-05		0.00718947		-0.0265514	1.02655
4.05	8.913e-05		0.00721592		-0.030337	1.03034
4	0.0001		0.00724427		-0.0343954	1.0344

r_squared: 0.999998
